source,target,weight
M0033,M0013,0.8812072017351003
M0034,M0039,0.9959693977168737
M0034,M0016,0.9757790571902785
M0034,M0055,0.9529513039330131
M0034,M0068,0.9507303713383864
M0034,M0056,0.9358006618782123
M0034,M0006,0.9129859963019035
M0034,M0067,0.8609187126906707
M0034,M0021,0.8593951696299508
M0035,M0003,0.9931104634967675
M0035,M0030,0.9868246704872712
M0035,M0066,0.9856680121459225
M0035,M0028,0.9750514503535335
M0035,M0015,0.9662476046201943
M0035,M0012,0.962893579241864
M0035,M0051,0.9574779776612957
M0035,M0060,0.9541355237075693
M0036,M0014,0.9883148657667771
M0036,M0023,0.9789667397786428
M0036,M0047,0.9069579175555382
M0036,M0064,0.8944970640723735
M0036,M0012,0.8821196502672187
M0036,M0052,0.8610336701894885
M0036,M0011,0.8274803125617457
M0036,M0004,0.8186638337067726
M0037,M0051,0.9384997951122216
M0037,M0062,0.9164091937477682
M0037,M0028,0.9159966706417473
M0037,M0001,0.8990823627331229
M0037,M0046,0.8969924895982971
M0037,M0030,0.8931797792571985
M0037,M0026,0.8914675112090321
M0037,M0007,0.8821063293757142
M0038,M0010,0.9996040390555776
M0038,M0022,0.9690237224288266
M0038,M0059,0.9661427318069479
M0038,M0043,0.9645018772364553
M0038,M0033,0.9600488842651854
M0038,M0018,0.9492762440735392
M0038,M0008,0.8208576196481062
M0038,M0056,0.820010318106993
M0039,M0034,0.9959693977168737
M0039,M0055,0.9536825759817967
M0039,M0016,0.9534525235782988
M0039,M0068,0.9516211742476605
M0039,M0006,0.9095782901355006
M0039,M0056,0.9035733327365931
M0039,M0032,0.8643958267522384
M0039,M0021,0.8468213960990812
M0040,M0065,0.9740714746212947
M0040,M0027,0.935011715492617
M0040,M0044,0.908357799213704
M0040,M0015,0.8873779973184273
M0040,M0001,0.8848275403616547
M0040,M0066,0.8193411831509948
M0040,M0028,0.7927172249105904
M0040,M0051,0.7892142165307231
M0041,M0011,0.9928283331067917
M0041,M0019,0.9923069886782241
M0041,M0004,0.9839214289530951
M0041,M0047,0.9786290970830018
M0041,M0052,0.9710702696761027
M0041,M0042,0.9706703846502295
M0041,M0029,0.9590979734891957
M0041,M0063,0.8670519825025801
M0042,M0052,0.995779541793883
M0042,M0029,0.9837730203754343
M0042,M0041,0.9706703846502295
M0042,M0047,0.9600614370492684
M0042,M0048,0.9453159662397175
M0042,M0011,0.9409243212806373
M0042,M0019,0.9372173645570084
M0042,M0045,0.9239088709379553
M0043,M0059,0.9841667209044335
M0043,M0033,0.9701734178261623
M0043,M0038,0.9645018772364553
M0043,M0010,0.9569834727414557
M0043,M0022,0.9112036209664
M0043,M0037,0.8496581765081387
M0043,M0002,0.8496471913010006
M0043,M0018,0.8422311541591532
M0044,M0001,0.9871174917264862
M0044,M0027,0.9609635216747001
M0044,M0015,0.9563628056915264
M0044,M0051,0.9335659361120626
M0044,M0028,0.9204585157395326
M0044,M0065,0.9166655322132249
M0044,M0040,0.908357799213704
M0044,M0062,0.8839077240667745
M0045,M0048,0.9947362206977081
M0045,M0024,0.9641265449777743
M0045,M0050,0.963099397800799
M0045,M0020,0.9384733420769406
M0045,M0013,0.9299901541261475
M0045,M0008,0.9289557361240601
M0045,M0029,0.9289202416498747
M0045,M0042,0.9239088709379553
M0046,M0007,0.992951590540668
M0046,M0017,0.9901684271243513
M0046,M0013,0.9808980315419268
M0046,M0050,0.9603432337166388
M0046,M0030,0.9319560684110294
M0046,M0064,0.9168804925547342
M0046,M0028,0.9131316711650559
M0046,M0051,0.9101429646122223
M0047,M0011,0.9811660254107984
M0047,M0041,0.9786290970830018
M0047,M0052,0.9773760608995838
M0047,M0019,0.9769810174506501
M0047,M0004,0.9721375431086047
M0047,M0042,0.9600614370492684
M0047,M0029,0.9138249632472821
M0047,M0036,0.9069579175555382
M0048,M0045,0.9947362206977081
M0048,M0050,0.9656022546884016
M0048,M0042,0.9453159662397175
M0048,M0024,0.9436832581986491
M0048,M0013,0.9366854054212815
M0048,M0029,0.9346974905880366
M0048,M0052,0.9303260493393809
M0048,M0064,0.9302995824243133
